"gim_event_type_code","gim_event_class","gim_event_category","gim_event_subcategory","gim_event_type"
150500,"","database","database.update","update rows"
151000,"","database","database.add","insert rows"
151001,"","database","database.add","add table"
151002,"","database","database.add","create database"
151500,"","database","database.delete","delete rows"
151501,"","database","database.delete","drop table"
151502,"","database","database.delete","drop database"
159999,"","database","database.default","database message"
170000,"","alert","alert.network alert","ids alert"
170001,"","alert","alert.network alert","network alert"
170002,"","alert","alert.network alert","network dlp alert"
171000,"","alert","alert.host alert","malware alert"
171001,"","alert","alert.host alert","host dlp alert"
171002,"","alert","alert.host alert","hips alert"
171003,"","alert","alert.host alert","fim alert"
179999,"","alert","alert.default","alert message"
180000,"protocol","http","http.default","http message"
180100,"protocol","http","http.request","http request"
180200,"protocol","http","http.communication","http communication"
180300,"protocol","http","http.proxied","http proxied communication"
190000,"endpoint","process","process.execute","process started"
190100,"endpoint","process","process.end","process stopped"
190500,"endpoint","process","process.interaction","process accessed"
190501,"endpoint","process","process.interaction","remote thread created"
191000,"endpoint","process","process.action","process altered"
191001,"endpoint","process","process.action","image loaded"
199990,"endpoint","process","process.default","process message"
200000,"endpoint","file","file.create","file created"
200100,"endpoint","file","file.delete","file deleted"
201000,"endpoint","file","file.modify","file modified"
201001,"endpoint","file","file.modify","file timestamp modified"
201002,"endpoint","file","file.modify","file stream created"
201500,"endpoint","file","file.access","file accessed"
201501,"endpoint","file","file.access","raw file access"
202000,"endpoint","file","file.integrity","file signature invalid"
202001,"endpoint","file","file.integrity","file integrity notice"
209999,"endpoint","file","file.default","file event"
210000,"endpoint","service","service.start","service started"
210100,"endpoint","service","service.stop","service stopped"
211000,"endpoint","service","service.configuration","service configuration change"
211500,"endpoint","service","service.state","service installed"
211501,"endpoint","service","service.state","service removed"
211502,"endpoint","service","service.state","service enabled"
211503,"endpoint","service","service.state","service disabled"
211504,"endpoint","service","service.state","service error"
219999,"endpoint","service","service.default","service event"
220000,"endpoint","audit","audit.integrity","audit log cleared"
220100,"endpoint","audit","audit.state","audit service started"
220101,"endpoint","audit","audit.state","audit service stopped"
220102,"endpoint","audit","audit.state","audit error"
220500,"endpoint","audit","audit.policy","audit policy changed"
229999,"endpoint","audit","audit.default","audit event"
230000,"endpoint","pipe","pipe.add","pipe created"
230100,"endpoint","pipe","pipe.remove","pipe deleted"
230500,"endpoint","pipe","pipe.state","pipe connected"
239999,"endpoint","pipe","pipe.default","pipe event"
240000,"endpoint","wmi","wmi.filter","wmi filter created"
240001,"endpoint","wmi","wmi.filter","wmi filter removed"
240500,"endpoint","wmi","wmi.consumer","wmi consumer created"
240501,"endpoint","wmi","wmi.consumer","wmi consumer removed"
241000,"endpoint","wmi","wmi.binding","wmi binding created"
249999,"endpoint","wmi","wmi.default","wmi event"
250000,"endpoint","registry","registry.value_change","registry value set"
250001,"endpoint","registry","registry.value_change","registry value added"
250002,"endpoint","registry","registry.value_change","registry value deleted"
250003,"endpoint","registry","registry.value_change","registry value modified"
250500,"endpoint","registry","registry.key_change","registry key added"
250501,"endpoint","registry","registry.key_change","registry key deleted"
250502,"endpoint","registry","registry.key_change","registry key renamed"
251000,"endpoint","registry","registry.object_renamed","registry object renamed"
259999,"endpoint","registry","registry.default","registry event"
260000,"endpoint","system_time","system_time.time_change","system time changed"
269999,"endpoint","system_time","system_time.default","system time event"
270000,"endpoint","driver","driver.loaded","system driver loaded"
270100,"endpoint","driver","driver.unloaded","system driver unloaded"
279999,"endpoint","driver","driver.default","system driver event"
280000,"endpoint","agent","agent.activity","agent activity"
280001,"endpoint","agent","agent.activity","antivirus and malware scan"
280100,"endpoint","agent","agent.update","agent update"
280200,"endpoint","agent","agent.status","agent status"
289999,"endpoint","agent","agent.default","agent default"
290000,"protocol","dhcp","dhcp.request","dhcp request"
290100,"protocol","dhcp","dhcp.offer","dhcp offer"
290200,"protocol","dhcp","dhcp.discovery","dhcp discovery"
290300,"protocol","dhcp","dhcp.acknowledgement","dhcp acknowledgement"
299999,"protocol","dhcp","dhcp.default","dhcp default event"
